Artiste,Nom musique,Album,user_id,track_duration
Imagine Dragons,natural,origins,87,189
Placebo,Every You Every Me,Without You I'm Nothing,86,200
Placebo,Running Up That Hill,Covers,86,275
Rammstein,Sonne,Mutter,86,260
Rammstein,Du hast,Sehnsucht,86,213
Porcupine Tree,Trains,In Absentia,86,360
Porcupine Tree,Blackest Eyes,In Absentia,86,255
Pink floyd,Wish You Were Here,Wish You Were Here,81,323
Pink floyd,"Another Brick in the Wall, Pt.2",The Wall,81,202
Archive,Again,You All Look At The Same To Me,81,971
Archive,Bullets,Controlling Crowds,81,332
Saez,Jeune et Con,Jours etranges,81,212
Saez,J'accuse,J'accuse,81,257
King of Leon,Sex On Fire,Only By The Night,81,194
King of Leon,Use Somebody,Only By The Night,81,210
The XX,Intro,xx,81,125
The XX,Crystalised,xx,81,193
Led Zeppelin,Stairway to Heaven,Led Zeppelin IV,81,482
Led Zeppelin,Immigrant Song,Led Zeppelin III,81,136
Izia,Folle,La vitesse,80,196
Izia,Mon coeur,La vitesse,80,191
Chase Atlantic,Swim,Chase Atlantic,76,209
Chase Atlantic,Friends,Nostalgia,76,210
Sabrina Carpenter,Expresso,Short n'Sweet,76,153
Sabrina Carpenter,Taste,Short n'Sweet,76,143
Odetari,Keep up,Keep Up // Frostbite,76,128
Odetari,Good Loyal Thots,Good Loyal Thots,76,86
The Weeknd,Blinding Lights,After Hours,76,192
The Weeknd,Starboy,Starboy,76,210
Ariana Grande,7 rings,"thank u,next",76,155
Ariana Grande,"thank u,next","thank u,next",76,197
Vianney,Hallelujia,Hallelujia,74,242
Vianney,Je m'en vais,Vianney,74,190
Julien Doré,Paris-Seychelles,LØVE,73,191
Julien Doré,Nous,aimée,73,194
Naive New Beaters,Heal Tomorrow,A la folie,73,202
Naive New Beaters,Worlds Hurt,A la folie,73,205
murray head,"Say It Ain't So,Joe",Say It Ain't So,71,264
murray head,One Night In Bangkok,Emotions,71,214
orange blossom,Maria,Under The Shade of Violets,71,314
orange blossom,Ya Sidi,Under The Shade of Violets,71,330
davodka,Anesthésie Vocale,Procès Verbal,71,215
davodka,Le couteau dans la paix,La mise au poing,71,148
Clara Luciani,La grenade,Sainte-Victoire,69,189
Clara Luciani,Respire encore,Coeur,69,209
Céline Dion,My Heart Will Go On,Let's talk about Love,69,264
Céline Dion,Because You Loved Me,Falling Into You,69,260
Cobalt,sincère,sincère,69,169
Cobalt,trop tôt,trop tôt,69,171
Francis Cabrel,encore et encore,photos de voyage,69,273
Francis Cabrel,je l'aime à mourir,les chemins de travserse,69,163
Indochine,j'ai demandé à la lune,paradize,69,219
Indochine,l'aventurier,l'aventurier,69,231
Percy Sledge,christmas wish,the atlantics recording,67,160
Percy Sledge,when a man loves a woman,when a man loves a woman,67,173
Paul Kalkbrenner,sky and sand,berlin calling,66,230
